FacilityID,FacilityName,Street,City,County,State,ZIPCode,Longitude,Latitude,Chemical,PFAS,PFAS_chemicals,PoundsReleased_2018,PoundsReleased_2019,PoundsReleased_2020,PoundsReleased_2021,PoundsReleased_2022,PoundsReleased_5yr_min,PoundsReleased_5yr_sum,PoundsReleased_5yr_max,Pounds_5yr_perc,Cancer_PoundsReleased_5yr_min,Cancer_PoundsReleased_5yr_sum,Cancer_PoundsReleased_5yr_max,Cancer_Pounds_5yr_perc,Cancer_weighted_5yr_sum,Dev_PoundsReleased_5yr_min,Dev_PoundsReleased_5yr_sum,Dev_PoundsReleased_5yr_max,Dev_Pounds_5yr_perc,Dev_weighted_5yr_sum,Asthma_PoundsReleased_5yr_min,Asthma_PoundsReleased_5yr_sum,Asthma_PoundsReleased_5yr_max,Asthma_Pounds_5yr_perc,Asthma_weighted_5yr_sum,state_num_facilities,state_num_chemicals,state_sum_releases,District,GEOID,district_num_facilities,district_num_chemicals,district_sum_releases,population_10km,WhtPercent_10km,NWPercent_10km,HispPercent_10km,BlkPercent_10km,AsianPercent_10km,AmerIndPercent_10km,Under5Percent_10km,ReprodFemPercent_10km,Over64Percent_10km,EduPercent_10km,housing_units_10km,VacPercent_10km,OwnOccPercent_10km,avg_median_income_10km,avg_median_house_value_10km,population_county,WhtPercent_county,NWPercent_county,HispPercent_county,BlkPercent_county,AsianPercent_county,AmerIndPercent_county,Under5Percent_county,ReprodFemPercent_county,Over64Percent_county,EduPercent_county,housing_units_county,VacPercent_county,OwnOccPercent_county,avg_median_income_county,avg_median_house_value_county,WhtPercent_change,NWPercent_change,HispPercent_change,BlkPercent_change,AsianPercent_change,AmerIndPercent_change,Under5Percent_change,ReprodFemPercent_change,Over64Percent_change,EduPercent_change,NAICS,10km_Pounds_sum,10km_Pounds_min,10km_Pounds_max,10km_Cancer_Pounds_sum,10km_Cancer_Pounds_min,10km_Cancer_Pounds_max,10km_Dev_Pounds_sum,10km_Dev_Pounds_min,10km_Dev_Pounds_max,10km_Asthma_Pounds_sum,10km_Asthma_Pounds_min,10km_Asthma_Pounds_max,10km_facnum,Health_Risk_Count
01151MNSNT730WO,SOLUTIA INC,730 WORCESTER ST,SPRINGFIELD,HAMPDEN,MA,01151,-72.526419,42.154981,Acetaldehyde,FALSE,,25916,31857,,,,25916,31857,31857,77.68069897,25916,31857,31857,82.60524226,19114.2,0,0,0,0,0,25916,31857,31857,93.43394228,30312.41692,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,172935.9095,0.693747348,0.306252652,0.32283368,0.155910843,0.020856283,0.002137475,0.056933886,0.235912544,0.162836986,0.167414084,70932.10385,0.067961702,0.932038298,54061.95745,178512.7589,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-11.25098182,40.28710961,25.63012826,76.31243752,-17.19821511,6.564788414,3.93156942,2.964777415,-3.73178394,17.78552106,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,1882985.6,1510583.5,1882985.6,1861726.9,1494222.8,1861726.9,34959.6,26883.5,34959.6,1847035,1483325,1847035,7,2
01151NSMLM73BWR,PREFERE MELAMINES LLC,730B  WORCESTER ST,SPRINGFIELD,HAMPDEN,MA,01151,-72.517605,42.159065,Formaldehyde,FALSE,,1497576,1419822,1277637,1253688,1546699,1253688,1546699,1546699,98.54381784,1253688,1546699,1546699,98.86153032,1546699,0,0,0,0,0,1253688,1546699,1546699,99.89409584,1550225.445,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,148073.0615,0.709688548,0.290311452,0.28502651,0.152973068,0.020836234,0.002291149,0.053907395,0.233765068,0.168954262,0.157195423,60173.0876,0.066121698,0.933878302,56810.17742,182456.3492,466647,0.7816958,0.2183042,0.256971544,0.088428727,0.025188204,0.002005799,0.054780166,0.229119656,0.169149271,0.142134689,193713,0.068250453,0.931749547,57623,216100,-9.211671829,32.98482201,10.91753805,72.99024181,-17.27781196,14.226273,-1.593224542,2.02750509,-0.115288465,10.59610024,Plastics Material and Resin Manufacturing,1882985.6,1510583.5,1882985.6,1861726.9,1494222.8,1861726.9,34959.6,26883.5,34959.6,1847035,1483325,1847035,7,2
01260MDSPCWILLO,ONYX SPECIALTY PAPERS INC. - WILLOW MILL,40 WILLOW ST,SOUTH LEE,BERKSHIRE,MA,01260,-73.286202,42.274705,Formaldehyde,FALSE,,33478,29929,21926,29407,27344,21926,33478,33478,78.50145618,21926,33478,33478,83.26714324,33478,0,0,0,0,0,21926,33478,33478,93.85755891,33554.32922,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,8507.110701,0.894581205,0.105418795,0.033642162,0.026394281,0.032316636,0.00270025,0.031236308,0.184738754,0.301562857,0.049825659,5143.277222,0.322123309,0.677876691,81395.35294,360412.5,125927,0.899235271,0.100764729,0.049528695,0.027182415,0.01783573,0.00250939,0.041762291,0.198821539,0.232475958,0.071422407,69149,0.207710885,0.792289115,62166,221000,-0.517558254,4.618745498,-32.07541141,-2.899428467,81.19042868,7.605820864,-25.20451406,-7.083128598,29.71786796,-30.23805747,Paper Mills,33478,21926,33478,33478,21926,33478,0,0,0,33478,21926,33478,0,2
01331DLLPL764SA,PEXCO LLC,764 S ATHOL RD,ATHOL,WORCESTER,MA,01331,-72.24363,42.58444,Di(2-ethylhexyl) phthalate,FALSE,,4,4,4,4,4,4,4,4,2.832936193,4,4,4,20.09531374,2.4,4,4,4,57.58538523,4,0,0,0,0,0,42,12,5314298.6,Congressional District 2,2502,7,4,359455,18029.73287,0.934896836,0.065103164,0.050055509,0.010701558,0.007296776,0.002242487,0.059505772,0.221945926,0.192230859,0.096610199,7964.628418,0.111012645,0.888987355,64565.94737,190710,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,13.72259441,-63.40763445,-57.55079402,-78.71698785,-85.51656502,4.850872437,10.99745861,-1.89464587,22.69134311,10.88311578,Unlaminated Plastics Profile Shape Manufacturing,17105,7517,17105,17105,7517,17105,17105,7517,17105,0,0,0,1,2
01331LSSTR121CR,LS STARRETT CO,121 CRESCENT ST,ATHOL,WORCESTER,MA,01331,-72.226707,42.595325,Trichloroethylene,FALSE,,12671,17101,9071,10537,7513,7513,17101,17101,66.32247816,7513,17101,17101,73.20624835,17101,7513,17101,17101,85.09398994,10260.6,0,0,0,0,0,42,12,5314298.6,Congressional District 2,2502,7,4,359455,17105.65054,0.936070213,0.063929787,0.054188423,0.010910835,0.007108187,0.001073037,0.05935483,0.222325177,0.192141997,0.098750659,7552.860379,0.112186531,0.887813469,64163.72222,186989.4737,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,13.86532618,-64.06715146,-54.04590738,-78.30078259,-85.89089691,-49.82853879,10.71590425,-1.727007815,22.63462707,13.33980143,Cutting Tool and Machine Tool Accessory Manufacturing,17105,7517,17105,17105,7517,17105,17105,7517,17105,0,0,0,1,2
01420THDRB119AU,OMNOVA SOLUTIONS,83 & 119 AUTHORITY DR,FITCHBURG,WORCESTER,MA,01420,-71.84844,42.552185,Acrylonitrile,FALSE,,12,10,6,6,6,6,12,12,6.010060895,6,12,12,22.55758539,12,6,12,12,59.35927985,7.2,0,0,0,0,0,42,12,5314298.6,Congressional District 3,2503,7,5,539306.29,52218.69802,0.786956009,0.213043991,0.245534788,0.06163238,0.017258319,0.002819976,0.060615926,0.233245803,0.149732213,0.107524997,22381.04125,0.077771927,0.922228073,68773.71698,242979.6296,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-4.273203679,19.74508091,108.223969,22.57305227,-65.74381039,31.85223922,13.0682544,3.100167477,-4.433417286,23.41043513,Plastics Material and Resin Manufacturing,443447.79,311439.04,443447.79,438423.8,309384,438423.8,12,6,12,5024,2055,5024,1,2
01432PHRMC25PAT,VERANOVA L.P.,25 PATTON RD,DEVENS,WORCESTER,MA,01434,-71.625768,42.528806,Dichloromethane (Methylene chloride),FALSE,,361795.21,426697.9,309378.04,331339,438411.79,309378.04,438411.79,438411.79,96.24040244,309378,438411.8,438411.8,97.35239608,350729.44,0,0,0,0,0,0,0,0,0,0,42,12,5314298.6,Congressional District 3,2503,7,5,539306.29,24834.12384,0.836799753,0.163200247,0.076074061,0.06236121,0.039170467,0.001555966,0.04425791,0.164743096,0.157084484,0.069985787,8843.752583,0.039948704,0.960051296,119242.9643,417521.4286,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,1.789882329,-8.270462644,-35.48595275,24.02253213,-22.25019159,-27.24844729,-17.44472104,-27.17965073,0.259169719,-19.67471119,Pharmaceutical Preparation Manufacturing,471866.29,342826.54,471866.29,438423.8,309384,438423.8,33454.5,33448.5,33454.5,0,0,0,0,1
01473DVNCC42DEP,ADVANCE COATINGS CO,42 DEPOT RD,WESTMINSTER,WORCESTER,MA,01473,-71.869697,42.552405,Phthalic anhydride,FALSE,,2055,4215,4217,3039,5024,2055,5024,5024,45.96240402,0,0,0,0,0,0,0,0,0,0,2055,5024,5024,77.60127085,2336.744186,42,12,5314298.6,Congressional District 3,2503,7,5,539306.29,38338.13313,0.792487879,0.207512121,0.239214717,0.055056178,0.016552834,0.002015397,0.057342871,0.218353767,0.159723546,0.108937716,16497.67126,0.074747271,0.925252729,71591.39024,239019.5122,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-3.600296737,16.63579733,102.8642789,9.494454461,-67.14413346,-5.767067596,6.962951243,-3.482464836,1.943551308,25.03186512,Paint and Coating Manufacturing,5036,2061,5036,12,6,12,12,6,12,5024,2055,5024,1,1
01527LWCTT86PRO,LEWCOTT CORP D/B/A BARRDAY COMPOSITE SOLUTIONS,86 PROVIDENCE RD,MILLBURY,WORCESTER,MA,01527,-71.74419,42.18568,Formaldehyde,FALSE,,911,872,687,767,856,687,911,911,26.29070691,687,911,911,39.39634631,911,0,0,0,0,0,687,911,911,68.06989674,913.077063,42,12,5314298.6,Congressional District 2,2502,7,4,359455,62685.98763,0.802989722,0.197010278,0.081649739,0.072709754,0.053779304,0.000423728,0.053126669,0.230287994,0.152004801,0.074653241,25896.72995,0.057166645,0.942833355,85199.9,309094,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,-2.322832895,10.73305344,-30.75754054,44.60347741,6.747017606,-80.18795674,-0.901625654,1.792745984,-2.982937753,-14.3177013,Plastics Material and Resin Manufacturing,307444,148866,307444,1202,943,1202,306533,148179,306533,911,687,911,0,2
01570SHLDPPETER,SHIELD PACKAGING CO INC,50 OXFORD AVE,DUDLEY,WORCESTER,MA,01571,-71.881367,42.05404,Tetrachloroethylene,FALSE,,256,291,,,,256,291,291,17.5006619,256,291,291,32.03600741,232.8,256,291,291,65.87238549,174.6,0,0,0,0,0,42,12,5314298.6,Congressional District 1,2501,8,6,1907887.6,40047.03019,0.885486893,0.114513107,0.083836152,0.028264362,0.014444058,0.000559094,0.047082111,0.234031254,0.165787962,0.084167108,16597.43449,0.083538918,0.916461082,74138.13514,273739.4737,826655,0.822085392,0.177914608,0.1179186,0.050282161,0.050380146,0.00213874,0.053610031,0.226232225,0.156678421,0.087127962,336533,0.066715597,0.933284403,77155,295300,7.712276711,-35.63591606,-28.90336881,-43.78849045,-71.32986189,-73.85872451,-12.17667557,3.447355242,5.814164756,-3.398281864,Polish and Other Sanitation Good Manufacturing,55416,19840,55416,1202,943,1202,54505,19153,54505,911,687,911,0,2
